WALMART SUCURSAL PLAZA ARAGON,TORTILLA DE MAIZ,10.00,19.532646,-99.027852
SUPERAMA SUCURSAL ACOXPA,TORTILLA DE MAIZ,10.90,19.297648,-99.136776
LULU,TORTILLA DE MAIZ,10.00,19.424012,-99.056162
TORTILLERIA LA NUEVA II,TORTILLA DE MAIZ,11.00,19.396063,-99.105381
LA LUPITA,TORTILLA DE MAIZ,11.00,19.278185,-99.119797
VILLA,TORTILLA DE MAIZ,11.00,19.278971,-99.121888
AURRERA BODEGA SUCURSAL PLAZA CHURUBUSCO,TORTILLA DE MAIZ,8.90,19.380448,-99.101768
SUPERAMA SUCURSAL MICHOACAN,TORTILLA DE MAIZ,10.90,19.411468,-99.171176
MEGA COMERCIAL MEXICANA SUCURSAL IZCALLI,TORTILLA DE MAIZ,9.90,19.647680,-99.206653
SORIANA HIPER SUCURSAL CALAFIA,HARINA DE MAIZ,9.80,32.641719,-115.469582
WALMART SUCURSAL ENSENADA,HARINA DE MAIZ,13.15,31.859079,-116.606337
SMART & FINAL SUCURSAL LOPEZ MATEOS,HARINA DE MAIZ,11.50,32.649350,-115.471600
SUPER MERCADO ARAMBURO SUCURSAL FORJADORES,HARINA DE MAIZ,10.20,24.135925,-110.311974
SORIANA HIPER SUCURSAL REFORMA,HARINA DE MAIZ,11.40,27.458949,-99.513434
SORIANA SUCURSAL NO. 74,HARINA DE MAIZ,13.90,19.317130,-98.221111
MEGA COMERCIAL MEXICANA SUCURSAL LOS BALCONES,HARINA DE MAIZ,13.90,20.997830,-89.622778
SUPER LEY SUCURSAL NOGALES,HARINA DE MAIZ,10.50,31.291542,-110.938367
WAL MART,HARINA DE MAIZ,10.00,21.154958,-86.833802
MEGA COMERCIAL MEXICANA SUCURSAL COZUMEL,HARINA DE MAIZ,13.55,20.505481,-86.956948
MEGA COMERCIAL MEXICANA SUCURSAL LA CAMPINA,HARINA DE MAIZ,12.20,24.816052,-107.365007
SORIANA SUCURSAL MITRAS,HARINA DE MAIZ,13.90,25.705878,-100.340153
SUPERAMA SUCURSAL LA NORIA,HARINA DE MAIZ,13.90,19.033539,-98.224856
SUPER LILI SUCURSAL SAN JUAN,HARINA DE MAIZ,10.00,19.706152,-101.182936
MERCADO SORIANA SUCURSAL R-1 LA GOBERNADORA,HARINA DE MAIZ,10.90,19.558491,-99.023802
AURRERA BODEGA SUCURSAL  GOBERNADORA,HARINA DE MAIZ,12.50,19.558407,-99.025819
WALMART SUCURSAL PLAZA ARAGON,HARINA DE MAIZ,12.90,19.532646,-99.027852
MERCADO SORIANA SUCURSAL LA FLORIDA,HARINA DE MAIZ,12.90,19.551690,-99.019634
SORIANA SUCURSAL PERINORTE,HARINA DE MAIZ,13.90,19.601616,-99.190592
SUPERAMA SUCURSAL ACOXPA,HARINA DE MAIZ,12.90,19.297648,-99.136776
SUPERAMA SUCURSAL PORTAL CHURUBUSCO,HARINA DE MAIZ,12.90,19.368986,-99.121912
SORIANA SUCURSAL LA VIGA,HARINA DE MAIZ,11.50,19.359962,-99.122330
AURRERA BODEGA SUCURSAL XOCHIMILCO,HARINA DE MAIZ,12.50,19.267356,-99.116357
AURRERA BODEGA SUCURSAL PLAZA CHURUBUSCO,HARINA DE MAIZ,12.50,19.380448,-99.101768
SUPERAMA SUCURSAL MICHOACAN,HARINA DE MAIZ,13.00,19.411468,-99.171176
MEGA COMERCIAL MEXICANA SUCURSAL IZCALLI,HARINA DE MAIZ,13.90,19.647680,-99.206653
WAL MART SUCURSAL COMBO PACHUCA,HARINA DE MAIZ,12.90,20.094526,-98.758178
WALMART SUCURSAL VALLARTA,HARINA DE MAIZ,13.90,20.678954,-103.429244
MERKABASTOS SUCURSAL MARIANO OTERO,HARINA DE MAIZ,12.50,20.631208,-103.435851
SORIANA SUCURSAL MALECON 30,HARINA DE MAIZ,10.30,21.107162,-101.660872
SORIANA HIPER SUCURSAL LAS ROSAS,HARINA DE MAIZ,13.90,25.555028,-103.505483
WALMART SUSURSAL 1054 COLIMA NORTE,HARINA DE MAIZ,13.90,19.257428,-103.720523
SORIANA HIPER SUCURSAL POLIFORUM,HARINA DE MAIZ,12.90,16.747273,-93.081601
SORIANA HIPER SUCURSAL COSS,HARINA DE MAIZ,11.90,25.435185,-101.003065
MI BODEGA AURRERA,HARINA DE MAIZ,13.90,29.553888,-104.415266
CHEDRAHUI SUCURSAL DURANGO (125),HARINA DE MAIZ,10.75,24.011236,-104.661718
